experiment,subplot,method,x,y_mean,y_lo,y_hi
exp2,a,sanet_dw,10,96.64045581018573,93.64045581018573,99.64045581018573
exp2,b,sanet_dw,10,93.21640920555983,90.21640920555983,96.21640920555983
exp2,a,sanet_dw,20,92.16087119079235,89.16087119079235,95.16087119079235
exp2,b,sanet_dw,20,87.06898696188301,84.06898696188301,90.06898696188301
exp2,a,sanet_dw,30,89.86764094879275,86.86764094879275,92.86764094879275
exp2,b,sanet_dw,30,84.8452863389837,81.8452863389837,87.8452863389837
exp2,a,sanet_dw,40,89.3329997741771,86.3329997741771,92.3329997741771
exp2,b,sanet_dw,40,83.9066252682389,80.9066252682389,86.9066252682389
exp2,a,sanet_dw,50,84.99232865962774,81.99232865962774,87.99232865962774
exp2,b,sanet_dw,50,79.57862421990309,76.57862421990309,82.57862421990309
exp2,a,sanet_dw,60,81.90380227724268,78.90380227724268,84.90380227724268
exp2,b,sanet_dw,60,78.16450042913878,75.16450042913878,81.16450042913878
exp2,a,weighted_sum,0,96.8492533817651,93.8492533817651,99.8492533817651
exp2,b,weighted_sum,0,91.45228910769907,88.45228910769907,94.45228910769907
exp2,a,weighted_sum,10,88.90345152812239,85.90345152812239,91.90345152812239
exp2,b,weighted_sum,10,85.1625248797529,82.1625248797529,88.1625248797529
exp2,a,weighted_sum,20,82.95250899086358,79.95250899086358,85.95250899086358
exp2,b,weighted_sum,20,79.84736973668792,76.84736973668792,82.84736973668792
exp2,a,weighted_sum,30,77.26126738533436,74.26126738533436,80.26126738533436
exp2,b,weighted_sum,30,75.01975198533374,72.01975198533374,78.01975198533374
exp2,a,weighted_sum,40,67.69928414989229,64.69928414989229,70.69928414989229
exp2,b,weighted_sum,40,64.88678375649582,61.88678375649582,67.88678375649582
exp2,a,weighted_sum,50,63.26042865298708,60.26042865298708,66.26042865298709
exp2,b,weighted_sum,50,61.11055279411867,58.11055279411867,64.11055279411866
exp2,a,weighted_sum,60,55.677113288630316,52.677113288630316,58.677113288630316
exp2,b,weighted_sum,60,53.64633731131737,50.64633731131737,56.64633731131737
exp2,a,independent,0,95.86182562464933,92.86182562464933,98.86182562464933
exp2,b,independent,0,90.03837092804646,87.03837092804646,93.03837092804646
exp2,a,independent,10,80.73089319757693,77.73089319757693,83.73089319757693
exp2,b,independent,10,77.2114877219831,74.2114877219831,80.2114877219831
exp2,a,independent,20,65.30330324536344,62.30330324536344,68.30330324536344
exp2,b,independent,20,60.908305593490745,57.908305593490745,63.908305593490745
exp2,a,independent,30,51.445915264517964,48.445915264517964,54.445915264517964
exp2,b,independent,30,46.6110593211423,43.6110593211423,49.6110593211423
exp2,a,independent,40,34.88054489874306,31.88054489874306,37.88054489874306
exp2,b,independent,40,30.17977269956831,27.17977269956831,33.17977269956831
exp2,a,independent,50,20,17,23
exp2,b,independent,50,15.955999069826676,12.955999069826676,18.955999069826674
exp2,a,independent,60,20,17,23
exp2,b,independent,60,15,12,18
exp2,a,adjacent_layer,0,96.96312710757513,93.96312710757513,99.96312710757513
exp2,b,adjacent_layer,0,94.73656522027989,91.73656522027989,97.73656522027989
exp2,a,adjacent_layer,10,85.62103314889643,82.62103314889643,88.62103314889643
exp2,b,adjacent_layer,10,81.46306511664906,78.46306511664906,84.46306511664906
exp2,a,adjacent_layer,20,74.43438140579238,71.43438140579238,77.43438140579238
exp2,b,adjacent_layer,20,69.04276933080646,66.04276933080646,72.04276933080646
exp2,a,adjacent_layer,30,63.86076156439295,60.86076156439295,66.86076156439296
exp2,b,adjacent_layer,30,61.08534975516859,58.08534975516859,64.0853497551686
exp2,a,adjacent_layer,40,52.78318073334321,49.78318073334321,55.78318073334321
exp2,b,adjacent_layer,40,50.350037774932595,47.350037774932595,53.350037774932595
exp2,a,adjacent_layer,50,40.72246960328075,37.72246960328075,43.72246960328075
exp2,b,adjacent_layer,50,35.595954628705954,32.595954628705954,38.595954628705954
exp2,a,adjacent_layer,60,30.54031971005738,27.54031971005738,33.540319710057375
exp2,b,adjacent_layer,60,24.79062657723698,21.79062657723698,27.79062657723698
exp3,a,proposed,1,340,260,420
exp3,b,proposed,11,98.6,95.6,101.6
exp3,a,proposed,2,380,300,460
exp3,b,proposed,14,98.2,95.2,101.2
exp3,a,proposed,4,460,380,540
exp3,b,proposed,20,97.4,94.4,100.4
exp3,a,proposed,8,620,540,700
exp3,b,proposed,32,95.8,92.8,98.8
exp3,a,full_rebuild,1,1400,1320,1480
exp3,b,full_rebuild,97,99,96,102
exp3,a,full_rebuild,2,1600,1520,1680
exp3,b,full_rebuild,99,99,96,102
exp3,a,full_rebuild,4,2000,1920,2080
exp3,b,full_rebuild,103,99,96,102
exp3,a,full_rebuild,8,2800,2720,2880
exp3,b,full_rebuild,111,99,96,102
exp3,a,local_only,1,790,710,870
exp3,b,local_only,5,73,70,76
exp3,a,local_only,2,880,800,960
exp3,b,local_only,6,76,73,79
exp3,a,local_only,4,1060,980,1140
exp3,b,local_only,8,82,79,85
exp3,a,local_only,8,1420,1340,1500
exp3,b,local_only,12,94,91,97
exp3,a,netren,1,790,710,870
exp3,b,netren,48,91,88,94
exp3,a,netren,2,880,800,960
exp3,b,netren,56,92,89,95
exp3,a,netren,4,1060,980,1140
exp3,b,netren,72,94,91,97
exp3,a,netren,8,1420,1340,1500
exp3,b,netren,104,98,95,101
exp3,a,sfc_reconfiguration,1,790,710,870
exp3,b,sfc_reconfiguration,48,91,88,94
exp3,a,sfc_reconfiguration,2,880,800,960
exp3,b,sfc_reconfiguration,56,92,89,95
exp3,a,sfc_reconfiguration,4,1060,980,1140
exp3,b,sfc_reconfiguration,72,94,91,97
exp3,a,sfc_reconfiguration,8,1420,1340,1500
exp3,b,sfc_reconfiguration,104,98,95,101
exp4,a,proposed,0,900,810,990
exp4,b,proposed,0,20,15,25
exp4,a,proposed,1,700,610,790
exp4,b,proposed,1,20,15,25
exp4,a,proposed,2,800,710,890
exp4,b,proposed,2,20,15,25
exp4,a,netkeeper,0,1000,910,1090
exp4,b,netkeeper,0,25,20,30
exp4,a,netkeeper,1,750,660,840
exp4,b,netkeeper,1,25,20,30
exp4,a,netkeeper,2,1300,1210,1390
exp4,b,netkeeper,2,25,20,30
exp4,a,cspf,0,600,510,690
exp4,b,cspf,0,60,55,65
exp4,a,cspf,1,1500,1410,1590
exp4,b,cspf,1,60,55,65
exp4,a,cspf,2,1300,1210,1390
exp4,b,cspf,2,60,55,65
exp4,a,full_rebuild,0,1000,910,1090
exp4,b,full_rebuild,0,95,90,100
exp4,a,full_rebuild,1,1000,910,1090
exp4,b,full_rebuild,1,95,90,100
exp4,a,full_rebuild,2,1300,1210,1390
exp4,b,full_rebuild,2,95,90,100
exp4,a,frr,0,550,460,640
exp4,b,frr,0,55,50,60
exp4,a,frr,1,1500,1410,1590
exp4,b,frr,1,55,50,60
exp4,a,frr,2,1300,1210,1390
exp4,b,frr,2,55,50,60
exp4,a,te_reopt,0,1000,910,1090
exp4,b,te_reopt,0,35,30,40
exp4,a,te_reopt,1,1000,910,1090
exp4,b,te_reopt,1,35,30,40
exp4,a,te_reopt,2,700,610,790
exp4,b,te_reopt,2,35,30,40
exp4,a,sfc_restoration,0,1000,910,1090
exp4,b,sfc_restoration,0,40,35,45
exp4,a,sfc_restoration,1,1000,910,1090
exp4,b,sfc_restoration,1,40,35,45
exp4,a,sfc_restoration,2,1300,1210,1390
exp4,b,sfc_restoration,2,40,35,45
